Sample	Accession	bases_covered_1x	bases_covered_10x	Per_cov_1x	Per_cov_10x	Reads_mapped	Library_Size	Num_MM_reads	percent_MM	unique_reads	percent_mapped	Genome_Length	mean_depth_mapped	max_depth	median_depth	TPM	EffectiveLength	Salmon_TPM	Salmon_read_number	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_005336.1	1095	0	0.78	0	22	1977066	0	0	22	0.00111276001913947	139962	1.942	4	2	6.20101886955561	76145.653	6.712492	5.01	139962	Orf virus, complete genome	10258	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf virus	unclassified Orf virus subspecies/strain	unclassified Orf virus strain
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_006998.1	194520	192551	99.9	98.89	1894690	1977066	726371	38.3371950028765	1168319	95.8334218483349	194711	662.865	3539	549	383882.38782638	180295.078	370921.725616	655486.04	194711	Vaccinia virus, complete genome	10245	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus	unclassified Vaccinia virus subspecies/strain	unclassified Vaccinia virus strain
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_009334.1	22316	453	12.92	0.26	2246	1977066	2075	92.386464826358	171	0.113602681953966	172764	2.334	23	2	512.869665814371	81125.345	610.102637	485.128	172764	Human herpesvirus 4, complete genome	12509	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Lymphocryptovirus	Human gammaherpesvirus 4	Human herpesvirus 4 type 2	Human herpesvirus 4 type 2
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_012042.1	2765	1556	53.21	29.95	622	1977066	151	24.2765273311897	471	0.0314607605411251	5196	18.019	134	12	4722.49768947181	9387.3	689.91366	63.479	5196	Human bocavirus 2c PK isolate PK-5510, complete genome	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_012564.1	5035	2633	96.05	50.23	781	1977066	100	12.8040973111396	681	0.0395029806794513	5242	13.704	64	10	5877.66093232284	9943.054	2210.092474	215.391	5242	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_039475.1	1644	351	21.76	4.65	99	1977066	0	0	99	0.00500742008612763	7556	5.695	20	3	516.884795340569	9001.808	557.899794	49.225	7556	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_039476.1	5309	1119	70.45	14.85	594	1977066	214	36.026936026936	380	0.0300445205167658	7536	7.938	129	4	3109.53942165075	8488.255	1924.765932	160.138	7536	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome	490039	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.2	Norovirus GII.2
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_039477.1	7220	3771	95.41	49.83	2939	1977066	215	7.31541340592038	2724	0.14865462255686	7567	37.271	374	11	15322.3847680596	8571.289	16778.920367	1409.638	7567	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_039897.1	1639	94	21.16	1.21	86	1977066	28	32.5581395348837	58	0.00434988007481794	7745	3.765	15	3	438.053889663618	8636.845	301.384553	25.514	7745	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866, complete genome	1529909	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_044854.1	847	137	11.01	1.78	54	1977066	14	25.9259259259259	40	0.0027313200469787	7693	4.902	17	3	276.916312132163	7013.737	401.864116	27.627	7693	Norovirus GI strain Hu/JP/2000/GI.6[PNA1]/WUG1, complete genome	122928	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI	Norovirus GI
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	NC_045512.2	3112	0	10.41	0	100	1977066	0	0	100	0.0050580000869976	29903	3.038	8	3	131.927627057903	48268.556	42.324893	20.024	29903	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	U31778.1	7436	6339	95.86	81.72	2342	1977066	0	0	2342	0.118458362037484	7757	30.272	276	23	11910.8734695617	12190.981	16756.56614	2002.262	7757	Human papillomavirus type 20, complete genome	31547	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 1	human papillomavirus 20	human papillomavirus 20
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	V01108.1	4745	2983	92.08	57.89	809	1977066	0	0	809	0.0409192207038106	5153	16.296	93	13	6193.53920438033	7473.768	2034.213011	149.016	5153	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	X01457.1	2748	840	53.09	16.23	207	1977066	0	0	207	0.010470060180085	5176	7.194	24	6	1577.7078616806	8522.47	421.19343	35.184	5176	Parvovirus h-1, complete genome	10799	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Rodent protoparvovirus 1	H-1 parvovirus	H-1 parvovirus
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	X70827.1	936	76	12.73	1.03	24	1977066	0	0	24	0.00121392002087942	7353	2.579	11	2	128.764808875152	10864.383	79.290432	8.444	7353	Human papillomavirus type 4 complete genome	10617	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 1	Human papillomavirus 4	Human papillomavirus 4
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	X70829.1	1528	0	20.91	0	32	1977066	0	0	32	0.00161856002783923	7308	2.086	4	2	172.743594172412	11636.371	55.191951	6.295	7308	Human papillomavirus type 65 complete genome	28312	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 1	Human papillomavirus 65	Human papillomavirus 65
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	X76931.1	1528	410	26.95	7.23	97	1977066	0	0	97	0.00490626008438767	5669	6.084	20	3	675.018676478231	4950.912	206.573181	10.024	5669	Cucurbit aphid-borne yellows virus genomic RNA	91753	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Cucurbit aphid-borne yellows virus	unclassified Cucurbit aphid-borne yellows virus subspecies/strain	unclassified Cucurbit aphid-borne yellows virus strain
MEM3_HybCap_S152720_trimmed_host_filtered_mapped	Z25771.1	5200	3659	76.32	53.71	2150	1977066	7	0.325581395348837	2143	0.108747001870448	6813	39.828	395	21	12449.4619677261	12488.855	860.368843	105.318	6813	Human astrovirus type 1 genes for capsid protein and nonstructural protein	12456	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 1	Human astrovirus 1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB010145.1	5410	629	65.57	7.62	293	1287163	55	18.7713310580205	238	0.0227632397761589	8251	4.412	20	3	530.903904149337	6281.702	435.19699	41.309	8251	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB042808.1	2337	110	30.36	1.43	85	1287163	4	4.70588235294118	81	0.00660367024223039	7697	3.429	17	2	165.101996485744	9823.979	83.955434	12.463	7697	Chiba virus genomic RNA, complete genome	99565	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Chiba virus	Chiba virus
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB090161.1	1137	0	14.18	0	36	1287163	15	41.6666666666667	21	0.00279684857317993	8021	2.035	4	2	67.1009811160816	10396.935	19.095769	3	8021	Theiler's-like virus of rats NGS910 genomic RNA, complete genome	204729	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B	Theiler's-like virus of rats	Theiler's-like virus of rats
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB308374.1	4019	1628	60.23	24.4	1296	1287163	521	40.2006172839506	775	0.100686548634478	6673	20.901	329	7	2903.61320293051	9136.851	1449.215339	200.082	6673	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB365435.1	1615	488	21.17	6.4	338	1287163	91	26.9230769230769	247	0.0262593004926338	7627	15.376	131	4	662.548751153966	9414.008	541.466923	77.024	7627	Norovirus Hu/Texas/TCH04-577/2004/US genomic RNA, complete genome	479952	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Texas/TCH04-577/2004/US	Norovirus Hu/Texas/TCH04-577/2004/US
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB448776.1	6507	321	18.48	0.91	360	1287163	174	48.3333333333333	186	0.0279684857317993	35215	3.514	15	3	152.837418580744	29693.075	155.084423	69.583	35215	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB614356.1	5961	2453	79.74	32.81	644	1287163	0	0	644	0.0500325133646632	7476	10.56	56	7	1287.86832076967	9364.769	1014.171745	143.512	7476	Sapovirus Hu/GI.2/BR-DF01/BRA/2009 RNA, complete genome	985691	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	Sapovirus Hu/GI.2/BR-DF01/BRA/2009
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB623037.2	4495	383	60.4	5.15	183	1287163	0	0	183	0.0142173135803313	7442	3.944	20	3	367.634542030117	9123.862	305.348314	42.097	7442	Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome	1003429	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/OH08021/2008/JP	Sapovirus Hu/OH08021/2008/JP
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AB775659.2	1567	0	20.83	0	37	1287163	0	0	37	0.00287453881132382	7521	2.246	7	2	73.5497195729268	9465.061	90.895246	13	7521	Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome	1280920	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Nagoya/NGY-1/2012/JPN	Sapovirus Hu/Nagoya/NGY-1/2012/JPN
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AC_000007.1	3348	0	9.32	0	177	1287163	152	85.8757062146893	25	0.013751172151468	35937	1.85	5	2	73.6353461205103	34357.649	61.445133	31.9	35937	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AC_000008.1	3023	0	8.41	0	152	1287163	124	81.5789473684211	28	0.0118089161978708	35938	2.089	7	2	63.233113950011	34271.563	36.798238	19.056	35938	Human adenovirus 5, complete genome	28285	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 5	Human adenovirus 5
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AC_000017.1	2833	9	7.87	0.02	170	1287163	119	70	51	0.0132073404844608	36001	2.832	14	2	70.5974871226227	34262.92	52.12509	26.987	36001	Human adenovirus type 1, complete genome	10533	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 1	Human adenovirus 1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF022937.1	1981	0	19.79	0	44	1287163	0	0	44	0.00341837047833103	10011	2.142	6	2	65.7097932813128	12870.573	56.560863	11	10011	Rhopalosiphum padi virus complete genome	66834	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Rhopalosiphum padi virus	unclassified Rhopalosiphum padi virus subspecies/strain	unclassified Rhopalosiphum padi virus strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF036710.1	3777	749	76.52	15.17	273	1287163	1	0.366300366300366	272	0.0212094350132811	4936	7.011	27	6	826.879798545048	6595.368	877.755286	87.476	4936	Rat parvovirus 1a nonstructural protein (NS1) and nonstructural protein (NS2) genes, complete cds	74581	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Rodent protoparvovirus 2	Rat parvovirus 1	Rat parvovirus 1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF043303.1	3141	226	67.13	4.83	145	1287163	0	0	145	0.0112650845308636	4679	4.438	19	3	463.308046485201	5063.794	688.76654	52.702	4679	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF085716.1	1316	154	28.35	3.32	55	1287163	0	0	55	0.00427296309791378	4642	4.155	19	2	177.138286444211	4611.754	529.559369	36.903	4642	Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds	82300	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus B	adeno-associated virus 5	adeno-associated virus 5
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF108105.1	3565	147	10.16	0.42	244	1287163	159	65.1639344262295	85	0.0189564181071084	35100	3.198	11	2	103.929202726994	29786.514	51.129577	23.013	35100	Human adenovirus type 17 complete genome	46922	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 17	Human adenovirus 17
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AF260508.1	3072	875	45.45	12.95	631	1287163	326	51.6640253565769	305	0.0490225402687927	6759	12.023	154	4	1395.7312380807	9279.161	536.416171	75.212	6759	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AJ304456.1	1100	0	60.41	0	32	1287163	0	0	32	0.00248608762060438	1821	2.76	8	3	262.721078543946	2104.205	292.431672	9.298	1821	Goose circovirus complete genome	146032	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Goose circovirus	unclassified Goose circovirus subspecies/strain	unclassified Goose circovirus strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AM749299.1	25817	2341	76.47	6.93	1174	1287163	12	1.0221465076661	1162	0.0912083395809233	33763	4.404	23	3	519.854675096896	45536.048	422.461219	290.684	33763	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AY646856.2	1539	19	20.52	0.25	34	1287163	0	0	34	0.00264146809689216	7500	2.113	12	2	67.7754702373744	9469.932	34.941728	5	7500	Sapovirus NongKhai-24/Thailand, complete genome	300717	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus NongKhai-24/Thailand	Sapovirus NongKhai-24/Thailand
NT1_HybCap_S152712_trimmed_host_filtered_mapped	AY720891.1	2560	914	38.08	13.6	560	1287163	214	38.2142857142857	346	0.0435065333605767	6723	14.696	124	6	1245.31666971578	9448.385	529.500719	75.597	6723	Human astrovirus type 4 strain Dresden, complete genome	35300	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	Human astrovirus 4
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090846.1	997	962	99.5	96.01	8972	1287163	0	0	8972	0.697036816626954	1002	882.587	2880	157	133867.893397702	1056.834	144338.788477	2304.987	1002	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090847.1	1372	1346	99.06	97.18	5845	1287163	0	0	5845	0.454099441951019	1385	420.413	1536	317.5	63094.2275755128	1639.667	62560.090273	1550	1385	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) neuraminidase (NA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090848.1	1535	1475	99.68	95.78	12093	1287163	475	3.9278921690234	11618	0.939508049874025	1540	746.524	3844	496	117400.032693932	1798.086	108597.055588	2950.579	1540	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nucleocapsid protein (NP) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090849.1	784	714	90.64	82.54	2432	1287163	191	7.85361842105263	2241	0.188942659165933	865	283.946	834	205.5	42034.1576718704	854.508	41278.121277	532.985	865	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090850.1	2208	2196	100	99.46	14710	1287163	0	0	14710	1.14282340309658	2208	651.637	2891	395.5	99602.0987044215	2941.974	87575.801977	3893.156	2208	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PA (PA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY090851.1	2261	2202	97.63	95.08	11324	1287163	0	0	11324	0.879764256741376	2316	491.407	1337	557	73099.8004579423	3159.529	60987.250542	2911.657	2316	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	CY093092.1	463	421	52.02	47.3	1146	1287163	220	19.1972076788831	926	0.0890330129128945	890	201.084	376	231	19250.8316817658	904.42	21471.249414	293.431	890	Influenza A virus (A/quail/Lebanon/272/2010(H9N2)) nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	1051647	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))	Influenza A virus (A/quail/Lebanon/272/2010(H9N2))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	DQ125333.1	4647	1204	62.48	16.19	311	1287163	0	0	311	0.0241616640627489	7437	6.592	36	4	625.197875205355	8151.235	300.56522	37.02	7437	Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes	343513	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Angelholm/SW278/2004/SE	Sapovirus Hu/Angelholm/SW278/2004/SE
NT1_HybCap_S152712_trimmed_host_filtered_mapped	EU116038.1	2257	2168	96.41	92.61	22254	1287163	0	0	22254	1.72891855965406	2341	961.24	5411	782	142122.080307171	3014.329	136817.200976	6231.751	2341	Influenza A virus (A/Swine/Shandong/3/2005/H3N2) polymerase basic protein 2 (PB2) gene, complete cds	463697	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/swine/Shandong/3/2005(H3N2))	Influenza A virus (A/swine/Shandong/3/2005(H3N2))
NT1_HybCap_S152712_trimmed_host_filtered_mapped	EU542581.1	1061	77	13.11	0.95	44	1287163	17	38.6363636363636	27	0.00341837047833103	8094	3.337	15	3	81.2726390584658	10422.909	76.192731	12	8094	Rat theilovirus 1 strain RTV-1, complete genome	529419	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cardiovirus	Cardiovirus B	Rat theilovirus 1	Rat theilovirus 1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	FJ222451.1	5897	4838	95.56	78.4	1945	1287163	0	0	1945	0.15110751318986	6171	32.673	161	29	4712.14824600693	8425.367	2985.425386	380.079	6171	Astrovirus MLB1, complete genome	568715	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Astrovirus MLB1	unclassified Astrovirus MLB1 subspecies/strain	unclassified Astrovirus MLB1 strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	FJ349096.1	3552	0	9.93	0	157	1287163	139	88.5350318471338	18	0.0121973673885903	35758	1.691	4	1	65.6419264504433	34113.175	42.105372	21.704	35758	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	10534	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 6	Human adenovirus 6
NT1_HybCap_S152712_trimmed_host_filtered_mapped	FJ712027.1	2157	584	54.13	14.65	159	1287163	0	0	159	0.012352747864878	3985	7.175	36	4	596.518180368064	5277.391	225.722285	18	3985	Turnip ringspot virus isolate Toledo segment RNA 2, complete sequence	392504	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Turnip ringspot virus	unclassified Turnip ringspot virus subspecies/strain	unclassified Turnip ringspot virus strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	FJ973560.1	3943	2412	79.53	48.65	955	1287163	87	9.10994764397906	868	0.0741941774274121	4958	21.953	104	16	2879.7297628028	6606.885	3168.313786	316.303	4958	Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome	1511881	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2b NI	Human bocavirus 2b NI
NT1_HybCap_S152712_trimmed_host_filtered_mapped	FJ973620.1	4840	1483	73.49	22.52	398	1287163	0	0	398	0.030920714781267	6586	8.084	67	5	903.475190951227	8871.298	668.104889	89.559	6586	Astrovirus VA1, complete genome	645687	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 9	Astrovirus VA1	Astrovirus VA1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	GQ179640.3	3186	330	39.91	4.13	142	1287163	16	11.2676056338028	126	0.011032013816432	7982	3.834	13	3	265.969297842218	7170.406	106.030618	11.488	7982	Salivirus NG-J1, complete genome	651733	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Salivirus	Salivirus A	Salivirus NG-J1	Salivirus NG-J1
NT1_HybCap_S152712_trimmed_host_filtered_mapped	GQ184145.1	1132	119	14.17	1.49	52	1287163	9	17.3076923076923	43	0.00403989238348212	7989	3.66	23	1	97.3118677614662	7214.102	67.792866	7.39	7989	Salivirus A isolate 02394-01, complete genome	1330524	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Salivirus	Salivirus A	unclassified Salivirus A subspecies/strain	unclassified Salivirus A strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	GQ415660.1	5491	2800	84.04	42.85	1091	1287163	0	0	1091	0.0847600498149807	6534	19.403	255	10	2496.32143726623	8948.429	2498.496608	337.835	6534	Mamastrovirus 8 isolate NI-295, complete genome	1239572	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 8	unclassified Mamastrovirus 8 subspecies/strain	unclassified Mamastrovirus 8 strain
NT1_HybCap_S152712_trimmed_host_filtered_mapped	GQ845444.1	935	0	12.64	0	22	1287163	0	0	22	0.00170918523916551	7397	2.33	4	2	44.465373836638	8773.984	105.903919	14.041	7397	Human papillomavirus type 122, complete genome	765054	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 2	Human papillomavirus 122	Human papillomavirus 122
